Query,Result,Found_Count,Found_Dns
https://www.google.mv/search?q=inurl%3Axanfomi.xyz+OR+inurl%3Acanfomi.xyz+OR+inurl%3Avanfomi.xyz+OR+inurl%3Abanfomi.xyz+OR+inurl%3Ananfomi.xyz+OR+inurl%3Amanfomi.xyz+OR+inurl%3Awynfomi.xyz+OR+inurl%3Arynfomi.xyz&tbm=nws,Not Found,0,
https://www.google.com.mt/search?q=inurl%3Awohoeihwh.buzz+OR+inurl%3Aweeiuhiwh.buzz+OR+inurl%3Agnifomi.xyz+OR+inurl%3Aganfomi.xyz+OR+inurl%3Ahanfomi.xyz+OR+inurl%3Ajanfomi.xyz+OR+inurl%3Akanfomi.xyz+OR+inurl%3Alanfomi.xyz&tbm=nws,Not Found,0,
https://www.google.ms/search?q=inurl%3Adhashiaas.buzz+OR+inurl%3Ajidiuaqdd.buzz+OR+inurl%3Awhiewdwd.buzz+OR+inurl%3Augdiuwgdu.buzz+OR+inurl%3Akwbdiowb.buzz+OR+inurl%3Absdsffwd.buzz+OR+inurl%3Aewdiwuihdw.buzz+OR+inurl%3Awihiuwhu.buzz&tbm=nws,Not Found,0,
https://www.google.ms/search?q=inurl%3Apojwhdf.buzz+OR+inurl%3Akooiccff.buzz+OR+inurl%3Awkjbbjiw.buzz+OR+inurl%3Akjdbjws.buzz+OR+inurl%3Ayardmusicnorth.top+OR+inurl%3Aatrpfmztdl.top+OR+inurl%3Aycoolers.top+OR+inurl%3Aloubags.shop&tbm=nws,Not Found,0,
https://www.google.ms/search?q=inurl%3Ayishuofanchen.com+OR+inurl%3A105guke.com+OR+inurl%3Apinzhewang.com+OR+inurl%3Akmyachijiaozheng.com+OR+inurl%3Akyytbz.com+OR+inurl%3Ahvnchina.com+OR+inurl%3Achinabjidc.com&tbm=nws,Not Found,0,
https://www.google.mw/search?q=inurl%3Atynfomi.xyz+OR+inurl%3Apynfomi.xyz+OR+inurl%3Agynfomi.xyz+OR+inurl%3A901aa20.com+OR+inurl%3A901aa21.com+OR+inurl%3A901aa22.com+OR+inurl%3Ametachain.best+OR+inurl%3Atslaevent.com&tbm=nws,Not Found,0,
https://www.google.com.mx/search?q=inurl%3Acdnfp28.club+OR+inurl%3Acdnfp31.club+OR+inurl%3Acdnfp30.club+OR+inurl%3Agtcszvhuxy.top+OR+inurl%3Ajestyayin112.com+OR+inurl%3Atoyosy.xyz+OR+inurl%3Atoyosy.top+OR+inurl%3Apkhfrz.top&tbm=nws,Not Found,0,
https://www.google.ms/search?q=inurl%3Aavantgardestreich.com+OR+inurl%3Astudysuccesseven.top+OR+inurl%3Ayardstretchtotal.top+OR+inurl%3Aplatinumblupools.com+OR+inurl%3Amattersticktiny.top+OR+inurl%3Aproblemnothingtake.top+OR+inurl%3Aplanettruespecial.top+OR+inurl%3A8bet08.net&tbm=nws,Not Found,0,
https://www.google.mw/search?q=inurl%3A0757fsgm.com+OR+inurl%3Afacaitogether.com+OR+inurl%3Azhsgmy.com+OR+inurl%3Acq-diablo.com+OR+inurl%3Ajlcbahy.com+OR+inurl%3Agooent.com+OR+inurl%3Ajlfll.com&tbm=nws,Not Found,0,
https://www.google.mw/search?q=inurl%3Ataobaoqcyp.com+OR+inurl%3Ashhongtaidq.com+OR+inurl%3Ahndacoop.com+OR+inurl%3Afenghuishuidian.com+OR+inurl%3Ahzhxp.com+OR+inurl%3Amaiyifu88.com+OR+inurl%3Afzhr98.com+OR+inurl%3Azgdmtrip.com&tbm=nws,Not Found,0,
https://www.google.mu/search?q=inurl%3Apanfomi.xyz+OR+inurl%3Afanfomi.xyz+OR+inurl%3Adanfomi.xyz+OR+inurl%3Asanfomi.xyz+OR+inurl%3Awanfomi.xyz+OR+inurl%3Aranfomi.xyz+OR+inurl%3Atanfomi.xyz+OR+inurl%3Azanfomi.xyz&tbm=nws,Not Found,0,
